FILM_FLAG,CATEGORY,NOMINEE,PERSON_FLAG,RELATED_FILM_SHOW,TWITTER_SCREEN_NAME,MOVIE_RELEASE_DATE,OFFICIAL_MOVIE_HASTAG,ACTOR_BIRTHDATE,ACTOR_AGE,WINNER_FLAG,GENDER_FLAG,NOMINEE_FLAG
0,Best Actor in a Limited-Series or TV Movie,Idris Elba,1,Luther,idriselba,,,9/6/1972,43,L,M,1
0,Best Actor in a Limited-Series or TV Movie,Patrick Wilson,1,Fargo,patrickwilson73,,,7/3/1973,42,L,M,1
0,Best Actor in a Limited-Series or TV Movie,Oscar Isaac,1,Show Me a Hero,,,,,,W,M,1
0,Best Actor in a Limited-Series or TV Movie,David Oyelowo,1,Nightingale,,,,,,L,M,1
0,Best Actor in a Limited-Series or TV Movie,Mark Rylance,1,Wolf Hall,,,,,,L,M,1
1,Best Actor in a Motion Picture – Comedy or Musical,Christian Bale,1,The Big Short,,12/11/2015,TheBigShort,1/30/1974,41,L,M,1
1,Best Actor in a Motion Picture – Comedy or Musical,Matt Damon,1,The Martian,,10/2/2015,TheMartian,10/8/1970,45,W,M,1
1,Best Actor in a Motion Picture – Comedy or Musical,Al Pacino,1,Danny Collins,,3/18/2015,,4/25/1940,75,L,M,1
1,Best Actor in a Motion Picture – Comedy or Musical,Steve Carell,1,The Big Short,SteveCarell,12/11/2015,TheBigShort,8/16/1962,53,L,M,1
1,Best Actor in a Motion Picture – Comedy or Musical,Mark Ruffalo,1,Infinitely Polar Bear,MarkRuffalo,5/22/2015,,11/22/1967,48,L,M,1
1,Best Actor in a Motion Picture – Drama,Michael Fassbender,1,Steve Jobs,,10/9/2015,SteveJobsMovie,4/2/1977,38,L,M,1
1,Best Actor in a Motion Picture – Drama,Eddie Redmayne,1,The Danish Girl,,11/27/2015,TheDanishGirl,1/6/1982,34,L,M,1
1,Best Actor in a Motion Picture – Drama,Will Smith,1,Concussion,,12/25/2015,ConcussionMovie,9/25/1968,47,L,M,1
1,Best Actor in a Motion Picture – Drama,Bryan Cranston,1,Trumbo,BryanCranston,11/6/2015,Trumbo,3/7/1956,59,L,M,1
1,Best Actor in a Motion Picture – Drama,Leonardo DiCaprio,1,The Revenant,LeoDiCaprio,12/25/2015,TheRevenant,11/11/1974,41,W,M,1
0,Best Actor in a TV Series – Comedy,Aziz Ansari,1,Master of None,azizansari,,,2/23/1983,32,L,M,1
0,Best Actor in a TV Series – Comedy,Rob Lowe,1,The Grinder,RobLowe,,,3/17/1964,51,L,M,1
0,Best Actor in a TV Series – Comedy,Patrick Stewart,1,Blunt Talk,SirPatStew,,,7/13/1940,75,L,M,1
0,Best Actor in a TV Series – Comedy,Jeffrey Tambor,1,Transparent,jeffreytambor,,,7/8/1944,71,L,M,1
0,Best Actor in a TV Series – Comedy,Gael Garcia Bernal,1,Mozart in the Jungle,,,,,,W,M,1
0,Best Actor in a TV Series – Drama,Rami Malek,1,Mr. Robot,ItsRamiMalek,,,5/12/1981,34,L,M,1
0,Best Actor in a TV Series – Drama,Bob Odenkirk,1,Better Call Saul,mrbobodenkirk,,,10/22/1962,53,L,M,1
0,Best Actor in a TV Series – Drama,Liev Schreiber,1,Ray Donovan,LievSchreiber,,,10/4/1967,48,L,M,1
0,Best Actor in a TV Series – Drama,Jon Hamm,1,Mad Men,,,,,,W,M,1
0,Best Actor in a TV Series – Drama,Wagner Moura,1,Narcos,,,,,,L,M,1
0,Best Actress in a Limited-Series or TV Movie,Kirsten Dunst,1,Fargo,kirstendunst,,,4/30/1982,33,L,F,1
0,Best Actress in a Limited-Series or TV Movie,Lady Gaga,1,American Horror Story: Hotel,ladygaga,,,3/28/1986,29,W,F,1
0,Best Actress in a Limited-Series or TV Movie,Sarah Hay,1,Flesh & Bone,SarahEllenHay,,,10/5/1987,28,L,F,1
0,Best Actress in a Limited-Series or TV Movie,Felicity Huffman,1,American Crime,FelicityHuffman,,,12/9/1962,53,L,F,1
0,Best Actress in a Limited-Series or TV Movie,Queen Latifah,1,Bessie,IAMQUEENLATIFAH,,,3/18/1970,45,L,F,1
1,Best Actress in a Motion Picture – Comedy,Jennifer Lawrence,1,Joy,,12/25/2015,JoyMovie,8/15/1990,25,W,F,1
1,Best Actress in a Motion Picture – Comedy,Maggie Smith,1,The Lady in the Van,,12/4/2015,TheLadyInTheVan,12/28/1934,81,L,F,1
1,Best Actress in a Motion Picture – Comedy,Melissa McCarthy,1,Spy,melissamccarthy,6/5/2015,SpyMovie,8/26/1970,45,L,F,1
1,Best Actress in a Motion Picture – Comedy,Amy Schumer,1,Trainwreck,amyschumer,7/17/2015,Trainwreck,6/1/1981,34,L,F,1
1,Best Actress in a Motion Picture – Comedy,Lily Tomlin,1,Grandma,LilyTomlin,8/21/2015,Grandma,9/1/1939,76,L,F,1
1,Best Actress in a Motion Picture – Drama,Cate Blanchett,1,Carol,,11/20/2015,CarolMovie,5/14/1969,46,L,F,1
1,Best Actress in a Motion Picture – Drama,Rooney Mara,1,Carol,,11/20/2015,CarolMovie,4/17/1985,30,L,F,1
1,Best Actress in a Motion Picture – Drama,Saoirse Ronan,1,Brooklyn,,11/4/2015,,4/12/1994,21,L,F,1
1,Best Actress in a Motion Picture – Drama,Alicia Vikander,1,The Danish Girl,,11/27/2015,TheDanishGirl,10/3/1988,27,L,F,1
1,Best Actress in a Motion Picture – Drama,Brie Larson,1,Room,brielarson,9/4/2015,RoomMovie,10/1/1989,26,W,F,1
0,Best Actress in a TV Series – Comedy,Rachel Bloom,1,Crazy Ex Girlfriend,Racheldoesstuff,,,4/3/1987,28,W,F,1
0,Best Actress in a TV Series – Comedy,Jamie Lee Curtis,1,Scream Queens,jamieleecurtis,,,11/22/1958,57,L,F,1
0,Best Actress in a TV Series – Comedy,Julia Louis-Dreyfus,1,Veep,OfficialJLD,,,1/13/1961,55,L,F,1
0,Best Actress in a TV Series – Comedy,Gina Rodriguez,1,Jane the Virgin,HereIsGina,,,7/30/1984,31,L,F,1
0,Best Actress in a TV Series – Comedy,Lily Tomlin,1,Grace & Frankie,LilyTomlin,,,9/1/1939,76,L,F,1
0,Best Actress in a TV Series – Drama,Caitriona Balfe,1,Outlander,caitrionambalfe,,,10/4/1979,36,L,F,1
0,Best Actress in a TV Series – Drama,Viola Davis,1,How to Get Away With Murder,violadavis,,,8/11/1965,50,L,F,1
0,Best Actress in a TV Series – Drama,Taraji P. Henson,1,Empire,TherealTaraji,,,9/11/1970,45,W,F,1
0,Best Actress in a TV Series – Drama,Robin Wright,1,House of Cards,realrobinwright,,,4/8/1966,49,L,F,1
0,Best Actress in a TV Series – Drama,Eva Green,1,Penny Dreadful,,,,,,L,F,1
1,Best Animated Feature Film,Inside Out,0,Inside Out,PixarInsideOut,6/19/2015,InsideOut,,,W,,1
1,Best Animated Feature Film,Shaun the Sheep Movie,0,Shaun the Sheep Movie,shaunthesheep,8/5/2015,ShauntheSheepMovie,,,L,,1
