MEDIUM,CATEGORY,NOMINEE,PERSON_FLAG,RELATED_FILM_SHOW,TWITTER_SCREEN_NAME,MOVIE_RELEASE_DATE,OFFICIAL_MOVIE_HASTAG,ACTOR_BIRTHDATE
FILM,Best Motion Picture – Drama,Carol,0,Carol,@CarolMovie,11/20/2015,#CarolMovie,
FILM,Best Motion Picture – Drama,Mad Max: Fury Road,0,Mad Max: Fury Road,@MadMaxMovieUK,5/15/2015,#MadMax,
FILM,Best Motion Picture – Drama,The Revenant,0,The Revenant,@RevenantMovie,12/25/2015,#TheRevenant,
FILM,Best Motion Picture – Drama,Room,0,Room,@RoomTheMovie,9/4/2015,#RoomMovie,
FILM,Best Motion Picture – Drama,Spotlight,0,Spotlight,@SpotlightMovie,11/6/2015,#SpotlightMovie,
FILM,Best Motion Picture – Comedy or Musical,The Big Short,0,The Big Short,@thebigshort,12/11/2015,#TheBigShort,
FILM,Best Motion Picture – Comedy or Musical,Joy,0,Joy,@JoyTheMovie,12/25/2015,#JoyMovie,
FILM,Best Motion Picture – Comedy or Musical,The Martian,0,The Martian,@MartianMovie,10/2/2015,#TheMartian,
FILM,Best Motion Picture – Comedy or Musical,Spy,0,Spy,@SpyTheMovie,6/5/2015,,
FILM,Best Motion Picture – Comedy or Musical,Spy,0,Spy,@SpyTheMovieUK,5/23/2015,,
FILM,Best Motion Picture – Comedy or Musical,Trainwreck,0,Trainwreck,@TrainwreckMovie,7/17/2015,,
FILM,Best Director – Motion Picture,Todd Haynes,1,Carol,None,11/20/2015,,
FILM,Best Director – Motion Picture,Alejandro G. Iñárritu,1,The Revenant,None,12/25/2015,,
FILM,Best Director – Motion Picture,Tom McCarthy,1,Spotlight,None,11/6/2015,,
FILM,Best Director – Motion Picture,George Miller,1,Mad Max: Fury Road,None,5/15/2015,,
FILM,Best Director – Motion Picture,Ridley Scott,1,The Martian,None,10/2/2015,,
FILM,Best Actor in a Motion Picture – Drama,Bryan Cranston,1,Trumbo,@BryanCranston,11/6/2015,,
FILM,Best Actor in a Motion Picture – Drama,Leonardo DiCaprio,1,The Revenant,@LeoDiCaprio,12/25/2015,,
FILM,Best Actor in a Motion Picture – Drama,Michael Fassbender,1,Steve Jobs,None,10/9/2015,,
FILM,Best Actor in a Motion Picture – Drama,Eddie Redmayne,1,The Danish Girl,None,11/27/2015,,
FILM,Best Actor in a Motion Picture – Drama,Will Smith,1,Concussion,None,12/25/2015,,
FILM,Best Actress in a Motion Picture – Drama,Cate Blanchett,1,Carol,None,11/20/2015,,
FILM,Best Actress in a Motion Picture – Drama,Brie Larson,1,Room,@brielarson,9/4/2015,,
FILM,Best Actress in a Motion Picture – Drama,Rooney Mara,1,Carol,None,11/20/2015,,
FILM,Best Actress in a Motion Picture – Drama,Saoirse Ronan,1,Brooklyn,None,11/4/2015,,
FILM,Best Actress in a Motion Picture – Drama,Alicia Vikander,1,The Danish Girl,None,11/27/2015,,
FILM,Best Actor in a Motion Picture – Comedy or Musical,Christian Bale,1,The Big Short,None,12/11/2015,,
FILM,Best Actor in a Motion Picture – Comedy or Musical,Steve Carell,1,The Big Short,@SteveCarell,12/11/2015,,
FILM,Best Actor in a Motion Picture – Comedy or Musical,Matt Damon,1,The Martian,None,10/2/2015,,
FILM,Best Actor in a Motion Picture – Comedy or Musical,Al Pacino,1,Danny Collins,None,3/18/2015,,
FILM,Best Actor in a Motion Picture – Comedy or Musical,Mark Ruffalo,1,Infinitely Polar Bear,@MarkRuffalo,5/22/2015,,
FILM,Best Actress in a Motion Picture – Comedy,Jennifer Lawrence,1,Joy,None,12/25/2015,,
FILM,Best Actress in a Motion Picture – Comedy,Melissa McCarthy,1,Spy,@melissamccarthy,6/5/2015,,
FILM,Best Actress in a Motion Picture – Comedy,Amy Schumer,1,Trainwreck,@amyschumer,7/17/2015,,
FILM,Best Actress in a Motion Picture – Comedy,Maggie Smith,1,The Lady in the Van,None,12/4/2015,,
FILM,Best Actress in a Motion Picture – Comedy,Lily Tomlin,1,Grandma,@LilyTomlin,8/21/2015,,
FILM,Best Supporting Actor in a Motion Picture,Paul Dano,1,Love & Mercy,None,12/26/2014,,
FILM,Best Supporting Actor in a Motion Picture,Idris Elba,1,Beasts of No Nation,@idriselba,10/16/2015,,
FILM,Best Supporting Actor in a Motion Picture,Mark Rylance,1,Bridge of Spies,None,10/4/2015,,
FILM,Best Supporting Actor in a Motion Picture,Michael Shannon,1,99 Homes,None,9/25/2015,,
FILM,Best Supporting Actor in a Motion Picture,Sylvester Stallone,1,Creed,@TheSlyStallone,11/25/2015,,
FILM,Best Supporting Actress in a Motion Picture,Jane Fonda,1,Youth,@Janefonda,12/4/2015,,
FILM,Best Supporting Actress in a Motion Picture,Jennifer Jason Leigh,1,The Hateful Eight,None,12/25/2015,,
FILM,Best Supporting Actress in a Motion Picture,Helen Mirren,1,Trumbo,None,11/6/2015,,
FILM,Best Supporting Actress in a Motion Picture,Alicia Vikander,1,Ex Machina,None,4/10/2015,,
FILM,Best Supporting Actress in a Motion Picture,Kate Winslet,1,Steve Jobs,None,10/9/2015,,
FILM,Best Screenplay – Motion Picture,Emma Donoghue,1,Room,@EDonoghueWriter,9/4/2015,,
FILM,Best Screenplay – Motion Picture,"Tom McCarthy, Josh Singer",1,Spotlight,@TeeMcSee / None,11/6/2015,,
FILM,Best Screenplay – Motion Picture,"Charles Randolph, Adam McKay",1,The Big Short,None / @GhostPanther,12/11/2015,,
FILM,Best Screenplay – Motion Picture,Aaron Sorkin,1,Steve Jobs,None,10/9/2015,,
FILM,Best Screenplay – Motion Picture,Quentin Tarantino,1,The Hateful Eight,@QTarantino_news,12/25/2015,,
FILM,Best Original Score,Carter Burwell,1,Carol,@carterburwell,11/20/2015,,
