,Big Short
0,You guys really think The Big Short is going to get Oscar nominations? You don't think it's a little too...good?
1,"@AllenCeedos: I'm out of the loop, don't know what the buzz is. I liked Love &amp; Mercy and The Big Short and Anomalisa."
2,"The Big Short is a fucking frightening film. Very, very good."
3,"Every preview I saw last night was all about dudes: The Big Short, The Revenant, Spectre, In the Heart of the Sea and The Finest Hours."
4,Listen to Adam McKay and Paul Thomas Anderson Discuss 'The Big Short' For 30 Minutes https://t.co/gmEzblauUm https://t.co/EFGUbiHMql
5,"2-time Globe winner Jim Carrey gives Comedy prize to The Martian, not a comedy at all. Big Short suffers a slight setback on road to Oscar."
6,"Should win Golden Globes: Spotlight, Big Short, Schumer, Saoirse Ronan, Damon,Fassbender, Paul Dano, Vikander, George Miller. Which won't?"
7,RT @KirkHoneycutt: “The Big Short” is an astute satire Mark Twain would have been proud of https://t.co/i0arWKAJzF https://t.co/b78MaRpkG0
8,"BEST EDITING, Winner: Hank Corwin, ""The Big Short."""
9,"RT @etalkCTV: 'Spotlight,' 'The Big Short,' 'Mad Max' bring home #CriticsChoice Awards - https://t.co/fNG8BRA8wU #etalk https://t.co/Tai3Z4…"
10,15. The Big Short (Adam McKay) https://t.co/yAvNE00UJ8 #Top50of2015 https://t.co/9vT3o4Imfj
11,"RT @ZeitchikLAT: The Big Short is a stylish, even slick, romp for its first 100 minutes, then an Inside Job-like punch in the gut for its l…"
12,RT @gkilday: Adam McKay announces Big Short to be shown to members of Congress on Wednesday.
13,The weirdest thing about Equity is it's almost the complete opposite of The Big Short. And now I just want to watch The Big Short again.
14,@SatyaLoquacious Different tastes. Sicario is #7! The Big Short was awesome. Spotlight is great. Room and Carol are overrated IMHO.
15,"RT @blackdieseluk: 'The Big Short': Fascinating. Adam McKay lends this kinda surrealist edge to the absurdist proceedings. Smart, incisive,…"
16,"RT @NadiaNeophytou: 8 films up for Best Pic - The Big Short, Bridge of Spies, Brooklyn, Mad Max: Fury Road, The Martian, The Revenant, Room…"
17,My review of The Big Short (dir. Adam McKay) is up here: https://t.co/AHUrhm5VLH
