,Carol
0,"RT @NYTMovies: ‘Carol’ and ‘Transparent’: Women in Love, Then and Now https://t.co/R3g19LqVfJ"
1,RT @ClassicalCinema: On this day in 1942 Carole Lombard died in a plane crash while returning from a war bond tour. She was just 33. #RIP h…
2,Watch: 'Natural Woman' Singer Carole King Revisits Her Breakthrough Album in New PBS Doc https://t.co/pKASX7TGdc https://t.co/IL1GeRM2Ph
3,Keira Knightley to Star in Biopic from 'Carol' Producers About Bisexual French Writer Colette https://t.co/HOabuAE6yv
4,Keira Knightley to Star in Biopic from 'Carol' Producers About Bisexual French Writer… https://t.co/OuYHrmiImM https://t.co/jykHBXLLpW
5,They told Carol Burnett that comedy variety shows were a man's game. She said no. Her speech from the SAG awards. https://t.co/8o2kfhsd19
6,Carol Burnett: SAG Awards Life Achievement Honoree on Giving Back | Variety https://t.co/la91wLTQP7
7,A Letter From The Oscar Board On Why 'Carol' Was Totally Snubbed https://t.co/7wPWIuUHPH
8,Why “Carol” Failed to Become the Lesbian 'Brokeback' https://t.co/1x4qz0S6Yc
9,Why “Carol” Failed to Become the Lesbian 'Brokeback' https://t.co/6jbLoTgwNq https://t.co/UHtlvfdYGv
10,Why “Carol” Failed to Become the Lesbian 'Brokeback' https://t.co/i9DrL80p3b https://t.co/xMxsxEbFrC
11,Why “Carol” Failed to Become the Lesbian 'Brokeback' https://t.co/XeXWyoghVT https://t.co/gFI6iQi3DL
12,"Alliance of Women Film Journalists' EDA Winners: 'Carol,' 'Mad Max,' Kristen Stewart and More https://t.co/Tvv6f0qT9E"
13,"RT @TatianaSiegel27: #Carol writer @PhyllisNagy tells me film should have been nommed for best picture/director. ""Of course, it tempered my…"
14,"@PhyllisNagy - Carol and 
Emma Donoghue - Room are nominated for best adapted screenplay. #Oscars2016"
15,So with no Carol nor Danish Girl getting a best picture nom there are no queer movies in that category at all. #Oscars2016
16,"So happy that Brooklyn, Mad Max and Room got recognized for best picture, but gutted that Carol was left out. #Oscars2016"
