,Joy
0,"@alisonwillmore YES ""Lawrence has been too young for every Russell role, but Joy is the first movie in which that feels like an affront"""
1,Did. Not. Like. Joy.
2,Finally getting to see Joy.
3,"Movies about women dominate both the film drama and comedy categories- Carol, Mad Max: Fury Road, Room, Joy, Spy, Trainwreck"
4,A Very Murray Christmas Director Sofia Coppola: I Wanted To Do Something ‘Joyful’ | TIME https://t.co/NDD9ZlL1dl
5,‘Carol’ and ‘Joy’ Production Designer Judy Becker On Period New York In 2 Films | Deadline https://t.co/umWZ6FgmQZ
6,Anyone have details on the Joy writing credits and how Annie Mumolo does not have a writing credit for the screenplay she wrote.
7,"David O. Russell has directed 12 movies. Joy ""for me, it was my first film with a woman protagonist at the center.” About fucking time."
8,Jennifer Lawrence Says ‘Joy’ Is Salute to ‘Women Who Are Unsung Heroes’ https://t.co/xwL7iySLA5
9,India's Daughter Filmmaker Leslee Udwin and Former Malawi President Joyce Banda Inspire Change: Glamour/ https://t.co/0fPXlioTn8
10,@_JoyCastro Isn't it great that we can't even get angry. There is so much to be angry about. I think my anger give me MORE authority.
11,Trailer Watch: Jennifer Lawrence is a Powerhouse in Sordid Tale of Millionaire Inventor 'Joy' https://t.co/IVzi1Vc6r5
12,"Jennifer Lawrence was good in Joy, but Amy Schumer and Lily Tomlin deserved the Globe more. Sorry, haters:"
13,"In Joyful Noise the talented newcomers shine, but the derivative movie tries to be Glee gone gospel: http://t.co/clWzmc0H"
14,"RT @ChazEbert: My watchwords for 2016: #EmpathyKindnessCompassion. May I not forget them. Also, #PeaceJoyHappiness for balance. https://t.c…"
15,RT @ChazEbert: So many good movies to see today: #Concussion  #sonofsaul  #45Years #HatefulEight #Joy more https://t.co/4OIGxR5Kvg https://…
16,RT @ChazEbert: Other writers to follow: @moviemom @rosmance @JoyceKulhawik @ScottFilmCritic @KatherineTulich @flipcritic @popcornreel @This…
17,"RT @Margoandhow: @JoyceSHarris @ebertchicago Me, too. And ours in Cambridge is fairly new.
cc @ChazEbert"
18,"RT @JoyTheMovie: This Christmas, experience the magic of Joy. Watch #JenniferLawrence shine in a holiday performance from #JoyMovie.
https:…"
19,#CriticsChoice Best Comedy @thebigshort @PixarInsideOut @JoyTheMovie @SistersMovie @TrainwreckMovie @SpytheMovie https://t.co/lAwCOeFfqD
20,RT @FSnewsfeed: Sundance 2016: John Carney's New Film 'Sing Street' is Utterly Joyful https://t.co/5oEioW0AJV
21,RT @DrMatthewSweet: Just looked up Joy (12A) on a site that helps you decide whether a film is suitable for kids. Under VIOLENCE/GORE... ht…
22,My review of Joy (dir. David O. Russell) is up here: https://t.co/A8ZU2LxBTc
23,"RT @MrsNickyClark: Reading @PeterBradshaw1 excellent review of ""Joy"" has the hidden property of making me really want a ""miracle mop"" https…"
24,My review of Joy (dir. David O. Russell) is up here: https://t.co/A8ZU2LxBTc
25,@Miss_Madley it's weird. I liked American Hustle - but not so much Joy or The Fighter
26,My review of Joy (dir. David O. Russell) is up here: https://t.co/je8lPf3Vqq
27,@tpaleyfilm Re-watched Old Joy recently &amp; it's just as wonderful on the second visit.
28,"@followthelemur @Telegraph God no, Joy's even better"
29,"Joy, with Jennifer Lawrence, is two hours of exactly that. My review is up here: https://t.co/b24NS8l34W https://t.co/Pq55AeZ4rD"
30,"Oh, and “Decades” remains one of the great all-time album closers. #Closer #JoyDivision"
31,"Wow, the original LP release of Joy Division’s CLOSER really doesn’t indicate which is Side A and Side B! (Guess what I bought today?)"
32,@nschager I see what you did there. #Joy
33,Joy is like 8 Mile with mopping instead of rapping.
34,Joy: the best possible version of that movie where Greg Kinnear invents windshield wipers. More endearing than I found American Hustle to be
35,"For @griersonleitch, my review of JOY. David O. Russell borrows from Joy Mangano's story to tell his own. https://t.co/ozjlbRAtgS"
36,"RT @JoyceCarolOates: Resting today after ordeal of ""Revenant.""  Surfeit of raw, bloody meat torn from bison carcass &amp; squirming fish devour…"
37,RT @Joypress: My entire twitter feed is a 10 year-old boy right now.
38,"RT @Joypress: Love @ursulaleguin accepting her award on behalf of ""authors who were excluded from literature for so long""-- fantasy/SF writ…"
39,RT @IWCriticwire: Variety’s Top 10 Movies of 2015 include Joy and Star Wars: The Force Awakens. https://t.co/K0BfspFjOe https://t.co/6R4DA0…
40,RT @IWCriticwire: Jennifer Lawrence mops up mixed reviews in David O. Russell’s Joy: https://t.co/sltZWo5ayt https://t.co/LSedXvYn3t
41,RT @IWCriticwire: Supergirl has a quality too often lacking in comic-book adaptations: Joy. First reviews. https://t.co/0VBoJV0jdW https://…
42,@mepresta Joyous.
43,"I am become the Destroyer of Buzzes, the Killer of Joy."
44,@DonaldClarke63 give em the option of suicide or actually reading some Joyce and I think the herd might self-cull.
45,Joy! At 45 YEARS' acting award one-two in Berlin: http://t.co/rT1pE2ekTV
46,"JOY: ""kooky caricatures of Joy’s obnoxious home life..butts up oddly against a resoundingly compelling 2nd half."" https://t.co/bIBWVUMvfo"
47,RT @johnsquires: @KentuckerAudley @ioncinema this may be the best thing I've ever seen. I've got a rated rookie Wally Joyner I'll swap you.
48,"Even if it came as a result of ignoring category fraud, that Best Actress Oscar lineup is one of the best in ages. #TeamRampling #TeamJoy"
49,@koook160 Totally! #TeamJoy welcomes all.
50,"Rise up, #TeamJoy! This, I suspect, is our one night."
51,"BEST PICTURE (Musical or Comedy)
Will win: The Big Short
Should win: Joy"
52,"@nathanielr True that films are not always as comic as their stars, and vice versa. I buy Joy as comic more than https://t.co/MnGxIpYyTU."
53,"BEST ACTRESS (Musical/Comedy)
Will and should win: Jennifer Lawrence, Joy
(I admit that its comic classification is also debatable, but...)"
54,"@GuyLodge Mopping up the damage, observing the trickle effect, and thinking: What would Joy do?"
55,"@barkerrant You won't like to hear this, but we're all Generation Joy."
56,@awards_watch @NicksFlickPicks @joafrcaetano Agreed! I'm still mystified by how Joy has fizzled out.
57,"@TomiLaffly Yay, #TeamJoy gets ever more distinguished! Glad you're on it. I really can't fathom the hostile reception in some quarters."
58,#TeamJoy grows! Anyone else? https://t.co/ZrQq3L8PoR
59,@danslevin Did you put Joy at #1 on your list in return?
60,#TeamJoy
61,"Off to see my most anticipated movie of the holiday season!
...
...
...
(It's Joy, by the way.)"
62,RT @SodaPictures: Congratulations to Chris Foggin one of our Joy of Six directors who has been named a @Screendaily Star of Tomorrow http:/…
63,"RT @SlateCultFest: New episode! On @RevenantMovie, @KonMari_Method's Spark Joy, and profanity. https://t.co/DqTWHNVzwk"
64,"Joy is the title of David O. Russell's new movie &amp; the name of J-Law's heroine, but sadly not the emotion it evokes: https://t.co/RfrQuEIsRp"
65,@SamuelAAdams @dankois Nice summary! &amp; I'm glad she didn't understand Bing Bong's final fate. Give her a few more years of Joy-based living.
66,"""Joy's"" real-life Joy Mangano meets her match in @ZeitchikLAT and a wonderful profile results. https://t.co/xcKtm896pE"
67,"I spend an afternoon in a luxurioushotel room with Joy and Sadness and learn some of the secrets of ""Inside Out."" http://t.co/Mlr5PfaFHF"
68,@TheJoyWriterx2 Glad you enjoyed the film. There's a first time for everything ...
69,Who knew Sinatra was a fan of Vaughan Williams? I asked @JoyceDiDonato @spconnolly @iainburnside etc about Frank https://t.co/tqK9QVSZ19
70,"@msannapicard @LukeJennings1 @larkingrumple Joyce Carey: Best Supporting Actress In AnyThing, Ever?"
71,"Remember Jane Seymour as Dr. Quinn, Medicine Woman? Be honest: who doesn't prefer Jane's real name- Joyce Penelope Wilhelmina Frankenberg?"
72,@JoyceDiDonato @AskonasHolt @RoyalOperaHouse @TheRoyalOpera https://t.co/Q7n6UpsRtV
73,@JoyceDiDonato @AskonasHolt @RoyalOperaHouse @TheRoyalOpera Her Xerxes and Ariodante.
74,@tarapersaud @JoyceDiDonato @YehudaShapiro N Riddle's (sublime) arrangement borrows ideas &amp; instrumentation from Copland's lush Quiet City.
75,@JoyceDiDonato He was no slouch as a conductor either. Has there ever been a better version of this? https://t.co/nhOfHUrqyS
76,".@JoyceDiDonato Thank you so much for your shrewd, insightful thoughts on Sinatra."
77,"For those asking about my Top 10 and late screeners Joy, Revenant, and Hateful 8. I held open slots, saw em, and they didn't make the cut."
78,"RT @JoyceCarolOates: Donald Trump is the Jeff Koons of US politics; or is Jeff Koons the Donald Trump of US ""art world""--?"
79,"One of our very greatest actors - for many decades now - is 90 today. Joyeux anniversaire, Michel Piccoli! (aka per J Demy, Monsieur Dame)"
80,"""Imagine a record label that turned down Joy Division"" Big Gold Dream @thequietus http://t.co/hkmZxnllrl"
81,"""We are left with this vision of masculinity"" Humpday and Old Joy @thequietus http://t.co/nNBhCxzJGb"
82,"""male insecurity and a longing to turn the clock back on adulthood"" Humpday and Old Joy @thequietus http://t.co/nNBhCxzJGb"
83,"Stephen Lee Naish investigates two examples of female directors focussing on male behaviour, Humpday and Old Joy http://t.co/nNBhCxzJGb"
84,"""male companionship has been somewhat replaced by something more sinister"" Humpday and Old Joy @thequietus http://t.co/nNBhCxzJGb"
85,"""a female interpretation of male failure"" Humpday and Old Joy reassessed @thequietus http://t.co/nNBhCxzJGb"
86,"""female directorial interpretations of the fractured male psyche"" HUmpday and Old Joy reassessed @thequietus http://t.co/nNBhCxzJGb"
87,"""not only show the failure of male friendship but the failure of the male himself"" Humpday and Old Joy @thequietus http://t.co/nNBhCxzJGb"
88,Stephen Lee Naish on Kelly Reichardt's Old Joy and Lynn Shelton's Humpday @thequietus http://t.co/nNBhCxzJGb
89,"""an opportunity to convey a homoerotic subtext"" HUmpday and Old Joy reassessed @thequietus http://t.co/nNBhCxzJGb"
90,Bromance Is Dead: Male Failure In Humpday And Old Joy @thequietus http://t.co/nNBhCxzJGb
91,"@Filmhouse 2day has 5 films I wanna see:Hateful 8,Night Train (Poland),Joy,A War (Denmark),Tales of the Night (French animation).Spoiling us"
92,In the #Dolezal age I proudly admit that I identify as this mash-up between Russ Abbott's &amp; Joy Division's Atmosphere http://t.co/XaTXfXMS4R
93,"My review of David O. Russell's ""Joy"" for Sight and Sound.
https://t.co/l2Kww43CO8"
94,"BAFTAs 2016: Suffragette, Spectre, Joy, Macbeth among shutouts; Rampling, Mirren, Stallone also miss out: https://t.co/TGk034kyV6"
95,"@joycemcm this is brilliant as usual, Joyce."
96,"When Dougie was a child, James Joyce read to him from an unpublished novel called Ulysses. More details here... https://t.co/T0MLzilmyZ"
