,Mad Max
0,Mad Max director George Miller to preside over Cannes jury in May.
1,"2016 Oscar Noms Announced; 'Brooklyn,' 'Room,' 'Mad Max: Fury Road' to Compete For Best Picture https://t.co/MRfEhC1gyB"
2,"Alliance of Women Film Journalists' EDA Winners: 'Carol,' 'Mad Max,' Kristen Stewart and More https://t.co/Tvv6f0qT9E"
3,"2016 Oscar Noms Announced; ""Brooklyn,"" ""Room,"" ""Mad Max: Fury Road"" to Compete For Best… https://t.co/lMTjTDkP8s https://t.co/i0F20beTYp"
4,"2016 Oscar Noms Announced; ""Brooklyn,"" ""Room,"" ""Mad Max: Fury Road"" to Compete For Best… https://t.co/P6ZN3rQUQJ https://t.co/p9KKJsSZ5v"
5,"RT @AndreaMann: Love the honest poster for Mad Max: Fury Road, courtesy of The Shiznit. https://t.co/mrP4wySsm1 https://t.co/x73u578RQk"
6,"So happy that Brooklyn, Mad Max and Room got recognized for best picture, but gutted that Carol was left out. #Oscars2016"
7,"women edited 2 of the 5 films nominated for editing. Margaret Sixel, Mad Max and Maryann Brandon and Mary Jo Markey, Star Wars.#Oscars2016"
8,"Alliance of Women Film Journalists' EDA Winners: 'Carol,' 'Mad Max,' Kristen Stewart and… https://t.co/c7cGcVtOvJ https://t.co/jhYjE37ywp"
9,"Alliance of Women Film Journalists' EDA Winners: 'Carol,' 'Mad Max,' Kristen Stewart and… https://t.co/J2XkklcjgD https://t.co/VRpZPBzyg6"
10,Margaret Sixel is the only woman nominated for editing for Mad Max: Fury Road. #BAFTA2016
11,"Women Film Critics Salute 'Suffragette' and 'Mad Max', Slam 'Jurassic World' and 'Steve Jobs' - Hollywood Reporter https://t.co/zEx8jr2yMJ"
12,"'Mad Max: Fury Road,' Kate Winslet, Cate Blanchett Honored at 2015 Australian Oscars https://t.co/DkBCqfnwRh"
13,"'Mad Max: Fury Road,' Kate Winslet, Cate Blanchett Honored at 2015 Australian Oscars https://t.co/Ut4O6sGfDP https://t.co/hhAN7RE9Kx"
14,"Movies about women dominate both the film drama and comedy categories- Carol, Mad Max: Fury Road, Room, Joy, Spy, Trainwreck"
15,'Mad Max: Fury Road' VFX Reel: Look Upon the Digital Stitches That Hold Those ... https://t.co/asXVMgvqwh https://t.co/whVWKWMyud
16,"George Miller Talks 'Mad Max,' His Canceled 'Justice League' Movie, and His Friendship ... https://t.co/gIUcWBJvwu https://t.co/l2oSDckG5D"
17,We Will See the 'Mad Max: Fury Road' Black-and-White Version on a Future Blu-Ray Release https://t.co/ulLjkEapBV https://t.co/W2Ymc9tfLP
