,Revenant
0,I'm just going to say it. I have no interest in seeing The Revenant.
1,"Every preview I saw last night was all about dudes: The Big Short, The Revenant, Spectre, In the Heart of the Sea and The Finest Hours."
2,Watch Alejandro González Iñárritu Explain a Scene From 'The Revenant' https://t.co/OECpwWYXta https://t.co/OwQwKQ0q8C
3,Making of 'The Revenant': 45-Minute Documentary Tells You Everything You Want to Know https://t.co/rZTM4m8CS8 https://t.co/UqpYrvM5ef
4,The Revenant grabs surprise win as Best Drama and might change the Oscar chances of Spotlight if the Globes meant a damn thing. They don't.
5,"Morgan Freeman gives Director Globe to Alejandro G. Inarritu  for The Revenant. George Miller and Ridley Scott, I personally salute you."
6,"RT @TheWrap: 'Crimson Peak,' 'The Revenant,' 'Mad Max' Nominated by Art Directors Guild https://t.co/AB4KKneYUX https://t.co/gi3MNI6VoJ"
7,"RT @ADuralde: My LOL of the day is @devincf describing #TheRevenant as a ""prestige episode of Jackass."" #notmyopinion #notnotmyopinion"
8,"RT @leonardmaltin: 'The Revenant' is a long, unforgiving narrative, a relentlessly brutal saga of survival and revenge https://t.co/JYg9mwG…"
9,RT @RevenantMovie: Congrats to @LeoDiCaprio on winning Best Actor from the @CriticsChoice Awards! #TheRevenant #CriticsChoiceAwards https:/…
10,Will the critics recognize @LeoDiCaprio for #TheRevenant? Watch the #CriticsChoice Awards Sunday at 8E/5P on @aetv! https://t.co/59GMIZgqQq
11,RT @MarkReardonKMOX: Next Sunday it's  @CriticsChoice Awards on @AETV.  I'll be voting heavily for #TheRevenant.
12,Here's to two survivors of film &amp; TV: @RevenantMovie's @LeoDiCaprio and @LastManFOX's @OrvilleIV. #CriticsChoice https://t.co/g27eurDcZF
13,RT @RevenantMovie: Never surrender. #TheRevenant https://t.co/f62cV6wxMy
14,"#CriticsChoice Best Movie Score: @CarolMovie, @thehatefuleight, @RevenantMovie, @SicarioMovie, and @SpotlightMovie https://t.co/cMY4KxxB8T"
15,"#CriticsChoice: @ExMachinaMovie, @JurassicPark, @madmaxmovie, @MartianMovie, @RevenantMovie, and @TheWalkMovie https://t.co/GXQ3BlyxPF"
16,"#CriticsChoice: @BlackMassMovie, @CarolMovie, @danishgirlmov, @thehatefuleight, @madmaxmovie, and @RevenantMovie https://t.co/6Itoi8lfvs"
17,"#CriticsChoice @CarolMovie, @thehatefuleight, @madmaxmovie, @MartianMovie, @RevenantMovie, @SicarioMovie https://t.co/70MMnQD1t0"
18,#CriticsChoice Best Editing: @thebigshort @madmaxmovie @MartianMovie @RevenantMovie @SpotlightMovie https://t.co/6NKIwPJW0J
