,Spotlight
0,Gina Rodriguez Launches Social-Media Movement to Spotlight Latino Performers https://t.co/VMWY22BED9
1,Gina Rodriguez Launches Social-Media Movement to Spotlight Latino Performers https://t.co/SCKQlrwwX0 https://t.co/AGHDbTcdsb
2,"Why isn't Carol the film to beat? More noms. @VanityFair headine: ""The Gotham Awards Just Confirmed Spotlight as the Oscar Front-Runner"""
3,2016 SAG Awards Winners: 'Spotlight' and Diversity Come Out on Top https://t.co/1cA4arR9rf https://t.co/sxyaFnGSEz
4,The Revenant grabs surprise win as Best Drama and might change the Oscar chances of Spotlight if the Globes meant a damn thing. They don't.
5,"Should win Golden Globes: Spotlight, Big Short, Schumer, Saoirse Ronan, Damon,Fassbender, Paul Dano, Vikander, George Miller. Which won't?"
6,RT @ChazEbert: Read @sheilakathleen 's 3 1/2 star review of #Spotlight and 12 other new reviews: https://t.co/4OIGxR5Kvg https://t.co/5ZcaP…
7,RT @ChazEbert: #MeridithBrody gives good defense of conventional movies #Spotlight to #ManwhoKnewInfinity: http://t.co/6C1BoUdSQH http://t.…
8,RT @ChazEbert: Yes we can handle the truth 2 films about reporters uncovering scandals #Spotlight &amp; #Truth: http://t.co/7oInXPn3sA http://t…
9,RT @ChazEbert: @indiewire Awards Season Spotlight on #LIFEITSELF @EbertMovie with Steve James and @ChazEbert :http://t.co/rPUnR4BE9r http:/…
10,@indiewire Awards Season Spotlight on #LIFEITSELF @EbertMovie with Steve James and @ChazEbert :http://t.co/FmdYNcUwbH http://t.co/fzgiHEOTOC
11,"BEST PICTURE, Winner: ""Spotlight."""
12,"BEST SCREENPLAY, Winner: Josh Singer and Tom McCarthy, ""Spotlight."""
13,"RT @etalkCTV: 'Spotlight,' 'The Big Short,' 'Mad Max' bring home #CriticsChoice Awards - https://t.co/fNG8BRA8wU #etalk https://t.co/Tai3Z4…"
14,RT @sharonstone: What a great night presenting @CriticsChoice #BestPicture to @SpotlightMovie. Well Done.  #SharonStone https://t.co/vdb9Px…
15,"If our sources are to be trusted, @SpotlightMovie just took home Best Acting Ensemble! #CriticsChoice"
16,"#CriticsChoice Best Movie Score: @CarolMovie, @thehatefuleight, @RevenantMovie, @SicarioMovie, and @SpotlightMovie https://t.co/cMY4KxxB8T"
17,#CriticsChoice Best Editing: @thebigshort @madmaxmovie @MartianMovie @RevenantMovie @SpotlightMovie https://t.co/6NKIwPJW0J
18,Fest starts today! Here's the final part of the @TwitchFilm @sundancefest preview: Premieres/Spotlight/More https://t.co/W4ovkQRCJ6
19,6. Spotlight (Tom McCarthy) https://t.co/yAvNE00UJ8 #Top50of2015 https://t.co/FawbKLhlgq
20,"MarkRuffalo on Cardinal Law: ""He should be a prison cell and not in a palace at the Vatican."" #Spotlight gets real backstage #SAGawards"
21,#Spotlight #Brooklyn shine in limited opening. https://t.co/rZpl76Rp5F via @usatoday
22,RT @MarkRuffalo: This is excellent. Preservation of Integrity in Journalism: The Case for #SpotlightMovie: https://t.co/WYPOC2ovcL @awardsd…
23,RT @SAGawards: .@SpotlightMovie receives the SAG Award for Outstanding Cast in a Motion Picture! #sagawards🎭 https://t.co/y0wHSWyznD
24,@SatyaLoquacious Different tastes. Sicario is #7! The Big Short was awesome. Spotlight is great. Room and Carol are overrated IMHO.
25,"@iamPitman @RussTop3Ever I am a big fan of Spotlight, especially the performances. But it didn't make the cut. I felt like it lacked style."
26,"Mark Ruffalo in Spotlight is still #1 supporting performance. Also enjoyed: Vikander as Ava, Kristen Stewart in Clouds, Julie Walters in BK."
27,My review of Spotlight (dir. Tom McCarthy) is up here: https://t.co/HCmb4qf6ol
28,My review of Spotlight (dir. Tom McCarthy) is up here: http://t.co/ru8r2lXGiQ #Venezia72
29,"Tom McCarthy's Spotlight, about the Boston Globe's child abuse investigation, has a few journo clichés but it's watchable #Venezia72"
30,"The Guardian film show investigates Spotlight, Youth &amp; Dirty Grandpa. Pulitzer to the usual address, natch https://t.co/kQsf2KxX02"
31,RT @SamuelAAdams: A thought on Best Picture: Carol is too good for the Academy. Spotlight is just exactly the right amount of good.
32,RT @SamuelAAdams: Goodbye to Language last year; Spotlight this year. Guess the National of Society of Film Critics has its “relevance” bac…
33,"RT @JPFoster94: Liev Schreiber has the trickiest role AND gives the best performance in ""Spotlight,"" but I doubt he'll be nominated for any…"
34,Here's my review of this week's best new film: investigative journalism thriller Spotlight. https://t.co/QqQHsNhFeJ https://t.co/daF71FY5MV
35,"@NickyRR Well, one of those three can...! But if it's any of them (or Spotlight), reckon people will be chuffed."
36,"@E_Film_Blog Actually, Spotlight's a really good shout. It's around, it's great, it's accessible, and almost nobody's seen it yet."
37,"@fitbafan On the up-side, Spotlight is 😘👌"
38,Thomas McCarthy shoos away the spirit of The Cobbler with masterful hack procedural Spotlight. My review: http://t.co/QqQHsNhFeJ #Venezia72
39,"Spotlight, x2, or They Fought the Law: Sorry, haters. Methodical, regretful, decidedly secular in its approach. Can live w/ the medium shots"
40,@jarrettem But they could've nominated him for Spotlight instead.
41,"2015's institution-shaming docudramas: Spotlight &gt; The Big Short &gt; Concussion &gt; Truth &gt; Trumbo (missed Freeheld, Stonewall, Suffragette)"
42,"@tylermager @lightscameraaus 45 Years, Carol, Spotlight..."
43,"@jasondashbailey This, but Ruffalo's nod for Infinitely Polar Bear over Spotlight."
44,"I liked Spotlight, but I would've *loved* it if the same thing happened to Rachel McAdams twenty minutes in as happened in Southpaw."
45,"I agree with @FITWR - give me Spotlight's deliberately unfussy direction over Truth's ""the world stopped to watch 60 Minutes"" grandstanding."
46,"Truth: setting aside Spotlight, a howler from the get-go. Assemble-the-team montages! Noble speechifying! Even felt a bit bad for Blanchett."
47,"Boss is taking my Spotlight recommendation under consideration, and now I'm fearing this journo-dork may lead her astray..."
48,People keep underselling how sexy Spotlight is.
49,"@mattzollerseitz This feels like the perfect prelude to Oscar season backlash...
""You hate Spotlight, just admit it.""
""It's FINE!!!!"""
50,Ranking all 26 films I saw at this year's Sundance Film Festival. (Hint: My #1 was part of the Spotlight section.) http://t.co/V3yaghY5SX
