,Spy
0,Jennifer Lawrence to Play Real-Life American Spy in Cuba Who Romanced Fidel Castro https://t.co/v2260Fg6im
1,Jennifer Lawrence to Play Real-Life American Spy in Cuba Who Romanced Fidel Castro https://t.co/tPkDw2Y50y https://t.co/WK1gLxegGa
2,"Movies about women dominate both the film drama and comedy categories- Carol, Mad Max: Fury Road, Room, Joy, Spy, Trainwreck"
3,"Taron Egerton Talks 'Kingsman 2,' Promises an ""International Story"" and Other Spy-ish ... https://t.co/IAYGcXNYJV https://t.co/MSWUIaSvNR"
4,The devilishly clever 'Tinker Tailor Soldier Spy' is easily one of the year's best films: http://t.co/mkzE6bQ2
5,RT @ChazEbert: #MovieReviews 3 star reviews of #JurrasicWorld #Spy #LoveAndMercy   Beach Boys &amp; more  at http://t.co/qXpxK3fN5g http://t.co…
6,"RT @bscritic: #SpyMovie is so funny and so well constructed, I don't know if I had more fun laughing or decoding the thing as it moved impr…"
7,Who loves fan art? @melissamccarthy loves fan art. #SpyMovie https://t.co/msKkPwtrXF
8,I spy @MelissaMccarthy on the Fan Art Red Carpet. @SpytheMovie #CriticsChoice https://t.co/bs39Eanzse
9,#CriticsChoice Best Comedy @thebigshort @PixarInsideOut @JoyTheMovie @SistersMovie @TrainwreckMovie @SpytheMovie https://t.co/lAwCOeFfqD
10,"ICYMI, here's that excellent NFL reporting I mentioned. OTL: From Spygate to Deflategate http://t.co/gK7kw9nv3v"
11,"Nothing says #Spy comedy like awkward, kissing blooper moments http://t.co/AsbmK8NPsX via @usatoday"
12,"RT @catherinebray: Not sure why I've done this, but here is Alan Partridge's The Spy Who Loved Me monologue retooled for Spectre. https://t…"
13,"@thefilmcynic Mistress America, Spy, What We Do in the Shadows."
14,"@RonSexsmith Spy games, of course!"
15,"I enjoyed #SpyMovie, which is uneven but oddly the second-best action movie of the summer after #MadMax."
16,"RT @IWCriticwire: Brian Wilson bio Love &amp; Mercy, Roy Andersson’s A Pigeon…, and Spy join the best-reviewed movies of 2015: http://t.co/mg01…"
17,"@mensamontaque Spy, The Man from U.N.C.L.E., Blackhat, Magic Mike XXL and Magic Mike XXL, respectively."
18,@CasparSalmon Is this London Spy? Does that star Ben Whishaw too? How many of him are there?
19,"@kateyrich Spy was a last-minute inclusion--Melissa just elbowed others out of the way, as she is wont to do. Where's your list? Link me up?"
20,@TheAmyNicholson I am currently debating whether or not to Top-10-list Spy. Rose Byrne as the Bulgarian villainess=among best perfs of year.
21,"RT @SlateCultFest: New episode! On @SpytheMovie, @UnRealLifetime, and the writers’ room at @ClickHole with @dankois: https://t.co/aEBEHgV2RG"
22,"@QuiteColdNight @Grantland33 I liked Spy a lot! Not perfect, but lots of fun: http://t.co/GbcEjiJO8w"
23,"Satisfying to see that Spy trounced Entourage at the box office this past weekend. Eat Melissa McCarthy's dust, boys! http://t.co/l27qXejsZQ"
24,@plettre @ForrestW I talk about the tracheotomy scene in the podcast! I thought it was gratuitous &amp; took you out of the movie. Same in Spy.
25,I genuinely don't understand why Spy is as gory &amp; violent as it is. I'm not trying to be finger-wagging--I just don't get why it's in there.
26,One of the strangest things about Spy. Was just discussing it w/ @ForrestW in a spoiler podcast (to go up tomorrow.) https://t.co/BlyE8y946D
27,"Melissa McCarthy's 3rd film w/ director Paul Feig, Spy, finally gives the comedienne a starring role, &amp; she nails it. http://t.co/GbcEjiJO8w"
28,@jodyrosen I know you're off to merrie olde England but you should see Spy when you get back--features a buffoonish Statham perf you'd like.
29,"@William_Godwin London Spy was, alas, increasingly a case of all gong and no dinner."
30,"@William_Godwin You liked London Spy... even Episode 4, dodgy and 5, disastrous?"
31,@SweetingAdam being brilliant on the tosh quotient in #LondonSpy @theartsdesk https://t.co/H3jIqCTrsj https://t.co/CMLIbSgjOt
32,"Spy was great. I feel so alone. Anyway, here's the rest of my @SightSoundmag 2015 ballot: https://t.co/b9Ajo7lKXH https://t.co/V322F9KzeR"
33,Wasn't prepared for how funny Spy was going to be. Haven't laughed that hard at a film for a long time. Rose Byrne is out of this world!
34,"Yes Spy made it onto my top ten films of the year list. But then again, Furious 7 made it onto @mel_goodfellow's!: https://t.co/rK01l6O1ub"
35,"What's wrong with this picture?
#SpytheMovie #wuakitv https://t.co/tfIfkIbPoR"
36,Shocked by all the mistakes in the equations on those blackboards. #LondonSpy
37,Well #LondonSpy went a bit Bunuel tonight. Likef the key role for boiled confectionery.
38,"@lindasgrant Admired London Spy, but yes - what happened to TV drama without DO NOT CROSS tape?"
39,RT @redcarpetcrash: 'Spy' Red Band Trailer (NSFW) &amp; Poster With @melissamccarthy &amp; Jason Statham http://t.co/oV3XKN4yu2 @SpytheMovie @paulf…
40,"RT @indiewire: ""Don't apologize for wanting to work!"" Here's why we need more women and minority filmmakers: http://t.co/SpyoL4wL6H http://…"
41,London Spy. Splendid stuff.
42,Rewatching Spy Game for which I interviewed Messieurs Scott and Pitt for Premiere magazine. Fourteen years ago.
43,"The Me Who Loved ""Spy"" http://t.co/jRdHlLLwfX @NS_Culture @NewStatesman"
44,Spy Kids: All the Time in the World in 4D: Movie Review http://j.mp/qMUMhS
