,Trainwreck
0,"Movies about women dominate both the film drama and comedy categories- Carol, Mad Max: Fury Road, Room, Joy, Spy, Trainwreck"
1,"Success gets a big payday: @amyschumer made $300,000 for Trainwreck. She will make between 4 and 5 million for her next one."
2,No assist from @KingJames needed. @amyschumer wins Best Actress in a Comedy for @TrainwreckMovie! #CriticsChoice https://t.co/FE2Bs16EOL
3,A Trainwreck? We beg to differ. Congrats to #CriticsChoice MVP Award recipient @amyschumer! https://t.co/9fPmpnjigg
4,#CriticsChoice Best Comedy @thebigshort @PixarInsideOut @JoyTheMovie @SistersMovie @TrainwreckMovie @SpytheMovie https://t.co/lAwCOeFfqD
5,No #Trainwreck here. #AmySchumer turned a televised #Shoewreck into #CriticsChoice laughter https://t.co/VkTsFWCASd via @usatoday
6,"Amy Schumer's Trainwreck is decent, but nowhere near the class of her live act... http://t.co/OzxwCUmtdj"
7,"Hey gang! This week's Guardian Film Show audio podcast is up now - Mistress America, Trainwreck and more! http://t.co/UU1kjx85fi"
8,My review of Trainwreck (dir. Judd Apatow) is up here: http://t.co/GOc3mS3dyB
9,"Here's this week's film show, clattering from Mistress America to Man from UNCLE to the inevitable Trainwreck http://t.co/kyNdZKjhdr"
10,Wrote this about why Trainwreck matters: http://t.co/TowhGu7cAy http://t.co/cNYwnzolrN
11,"RT @wittertainment: Last mcwittertainment of the summer @amyschumer &amp; Bill Hader talk #Trainwreck. + 
UNCLE, Pixels, @edibow, @robbiereview…"
12,"@AWLies This is the spoof movie-within-a-movie in Trainwreck, right?"
13,@thefilmcynic Dope? Trainwreck?
14,RT @IWCriticwire: How Trainwreck calls BS on “postfeminism”; Defending late-period Woody Allen; BoJack Horseman is the new Mad Men: http://…
15,"@davidehrlich Try it now with ""Trainwreck."""
16,"I guested on @tytwtf to discuss Ant-Man, Trainwreck, Stanford Prison Experiment, Irrational Man and Do I Sound Gay? http://t.co/WxmRcDMYrC"
17,RT @ADuralde: Toasting #Trainwreck with @christylemire @timgrierson @benmank77 on @tytwtf https://t.co/E5erLR2Z8h
18,@scott_tobias @kateyrich I figured we'd get pushback on Wanderlust (too low) and Funny People (too high). I dunno: I really like Trainwreck.
19,TRAINWRECK (@TrainwreckMovie) is the classiest raunch film yet. http://t.co/rPawtUKjtj http://t.co/2hpvndNkyO
20,"RT @IWCriticwire: Owen Gleiberman puts Amy, Love &amp; Mercy, Trainwreck on his Top 10 Films: https://t.co/Es0LgTk1ZI https://t.co/opuYhKctN7"
21,"RT @akstanwyck: SXSW: ‘Trainwreck’ Star Amy Schumer Says “If You’re Against Feminism, You’re a Crazy Person” http://t.co/ok9U55gGEq"
22,"Sisters: ""doesn’t generate the same conversations as Apatow’s Trainwreck, but it belongs to the same family."" https://t.co/nYghNBIigV"
23,"Keep 'em coming @amyschumer! Apatow’s Trainwreck: ""Schumer’s pleasurable hurricane hits almost all its marks"" http://t.co/CMf5MMJCid"
24,"Brie Larson Engineers Trainwreck...Reteams with Radcliffe on McGrath’s ""Brooklyn Bridge"" http://t.co/bmGUViZtqk"
25,"@CasparSalmon Great news that Trainwreck got a screenplay nomination from the Writers' Guild! They really know their onions, so we're wrong."
26,"Thinking about the delight &amp; disappointment of Trainwreck, &amp; wondering what's next for the multitalented Amy Schumer: http://t.co/zblYrppBU6"
27,"Writing dumbass musing about Amy Schumer, see on newsfeed that there has been a shooting at a Trainwreck showing in which people died. Fuck."
28,RT @annehelen: i had so much fun doing a Slate Spoiler Special on Trainwreck w/@thehighsign (spoiler: I loved it): http://t.co/98pZIAEwvk
29,"Trainwreck heralds the arrival of a movie star named Amy. My review, plus a Spoiler Special chat w @annehelenpetersen http://t.co/nHhNyau6lU"
30,"Recorded a super-fun Spoiler Special on Trainwreck w/ @annehelenpetersen this morning. She was the ideal co-discussant, for so many reasons."
31,This week's reviews: The Look of Silence &gt; Trainwreck &gt; Ant Man &gt; Irrational Man &gt; Joe Dirt 2
32,Supporting Actress of the Year - Olivia Colman - The Lobster; Kristen Stewart - Clouds of Sils Maria; Tilda Swinton - Trainwreck...
33,"@OnePerfectShot @picturehouses Last night I watched Judd Apatow and Amy Schumer's Trainwreck, in which this scene is rudely referenced."
34,'Trainwreck' is a terrific powerhouse comedy &amp; an altogether extraordinary debut feature for star/writer @amyschumer http://t.co/Sy5fkOep7S
35,"Million Dollar Idea: Trainwreck, but the Amy Schumer character is a guy."
36,My favourite piece of film crit in ages. @unbuttonmyeyes on Trainwreck: http://t.co/n4aQmAeEY0
37,"@CasparSalmon Great news that Trainwreck got a screenplay nomination from the Writers' Guild! They really know their onions, so we're wrong."
38,"The Taming of Amy Schumer: ‘Trainwreck’ Has Laughs, but at What Cost?  http://t.co/zxVzHoQm9s via @villagevoice"
39,RT @lhertz: Wish the movie lived up to the title http://t.co/Vg003bA8lG #Trainwreck @micklasalle @peterhartlaub @sfgate @sfchronicle
40,"#Trainwreck  — great title, so-so movie http://t.co/NZapU7GmTG via @SFGate"
41,"#GoldenGlobes noms for best picture-comedy: The Big Short, Joy, The Martian, Spy, Trainwreck"
42,"New on DVD/Blu-ray: Tangerine [85], Trainwreck [75], Mr. Holmes [67], Terminator Genisys [38]; full list at https://t.co/swYa9qIwGf"
43,Weekend Box Office: (1) Ant-Man $24.8mil (2) Pixels $24.0 (3) Minions $22.1 (4) Trainwreck $17.3 (5) Southpaw $16.5 (6) Paper Towns $12.5
44,"Now in theaters: 
Trainwreck [75] http://t.co/e12uiNsWz3 
Ant-Man [65] http://t.co/xZbmVzGWDf 
Full list: http://t.co/P0Ug8Hzw5E"
45,"Movies Coming Soon: http://t.co/sfv5RGY5Tr Ant-Man [66], Trainwreck [79], Paper Towns [65], Southpaw [57], Stanford Prison Experiment [76]"
46,"Trainwreck [79] Trailer http://t.co/FGuMElI8jN Variety:""Like much of Apatow’s best, delicately balances irreverent raunch w/candid insights"""
47,"Trainwreck [88] (Trailer) opens July 17 http://t.co/FGuMElI8jN Screen International: ""One of Apatow’s most polished, mature works."""
48,"Trainwreck [87] http://t.co/M11etOwaoy Variety: ""Like much of Apatow’s best work, delicately balances irreverent raunch w/candid insights."""
49,"Batman Arkham Knight - PC version is ""A Trainwreck at Launch"" (Polygon), ""Plagued by PC Problems"" (GameSpot) http://t.co/VEIUSEEkWI"
50,"Trainwreck [87] w/Amy Schumer 7/17 (Trailer) http://t.co/FGuMElI8jN Variety: ""Delicately balances irreverent raunch with candid insights."""
51,"Film Friday: A guide to this weekend's movies + watch new trailers/clips for Jurassic World, Spy, Trainwreck, &amp; more: http://t.co/c4J5lEGrzZ"
52,"Film Friday: This week's new films + new trailers for Trainwreck, Man From UNCLE, Aloha, Straight Outta Compton &amp;more http://t.co/Uup23jahJF"
53,RT @ashkeinath85: @RottenTomatoes I can't wait to mix up a drink and watch @TrainwreckMovie tonight!!!! THANK YOU!!!! https://t.co/MoAn1UEw…
54,Follow &amp; RT 4 chance 2 win a #Trainwreck Prize Pack! No Purc Req US 18+ #Sweepstakes Rules: https://t.co/C1oX8qFYQq https://t.co/PmhpyeL9Zo
55,Follow &amp; RT 4 chance 2 win a #Trainwreck Prize Pack! No Purc Req US 18+ #Sweepstakes Rules: https://t.co/C1oX8qonYS https://t.co/1kcbaflewX
56,"Now Streaming: #BeastsOfNoNation, #Trainwreck, #Halloween TV Episodes, And More ---&gt; https://t.co/nBmUsTiumK https://t.co/c5YcRt5MSM"
57,"RT @guardianfilm: Carol, Mad Max and Trainwreck shine in Golden Globes nominations https://t.co/qttOkSgkju"
58,LeBron James in #Trainwreck. So good.
59,Daniel Radcliffe opens up about his post-Harry Potter drinking problem and that Trainwreck cameo https://t.co/hmWuLxBPm1
60,"The awesome Norman Lloyd on Chaplin, @amyschumer, and why his daughter hated Trainwreck: http://t.co/zlHVVgwNAl http://t.co/1gM58XDx6W"
61,"Meet Norman Lloyd, the 100-year-old star of Trainwreck http://t.co/HwjypUX9BH"
62,"All hail Amy Schumer, the defiant voice of sweetly brash feminist stand-up! Here's our review of her film #Trainwreck http://t.co/kfGOQAtq3A"
63,Amy Schumer wins comedy actress for Trainwreck and Christian Bale comedy actor for The Big Short   #CriticsChoice
64,"RT @latimesmovies: 'Spotlight,' 'Trainwreck,' 'Trumbo' receive WGA nominations https://t.co/P9Kdmeg5HC"
65,"Golden Globes 2016: Carol, Mad Max: Fury Road and Trainwreck among nominations – video https://t.co/STpULN8CHh"
